Question,Answer
Can I actually take this case underwater?,Yes I went and swam in the lake with it and had no problems
is this phone slip proof,"Slip proof?... If you mean phone sliding in case it was very secure when I used it, but I did only last 24 hours again due to the extremely horrible sound quality and low volume while the case was on my phone!"
Does this work with the samsung galaxy s relay?,I'm not sure I just know it doesn't fit the Active model. The Active is a little larger than the regular S4 and the bottom buttons are different.
does it make your phone look fat?,No
Can the protective plastic screen cover be removed?,"It dosn't matter it does not close correctly, you can plainly see it would not be protected from water, me and my husband could not get it to close securely it's just junk you get what you pay for"
Does it have a built in screen protector?,Yes there is a thing plastic screen that covers the front - the color is just printed on it. It does kind of muffle the ear piece since it goes completely over it with no holes.
it does fit galaxy s4 sgh-m919,Yes
is this case really waterproof?,Yes
have you done the drop test multiple times ?,"Yes, I have... Plus non test - tests... I dropped it off the table and nothing, but a tiny scratch on the plastic screen that goes over the phone... I also dropped it in the sink of water and it floated up and no water went inside the case! It's a great buy!!"
IS THIS OTTER BOX,No
Fit s4 active?,Fits regular s4 not mini
I really don't want to wait the 45 days it takes to get this. That is why I am hesitant to purchase this. What is the soonest you could send it to me?,"Thanks for your interest in this item. The delivery time will need 10-20 working days, can you accept it?"
Is case rubberized?,"No, it is slick"
do they sell a belt clip case for this with the extended battery?,Sorry i do not know. i just put in my pocket
Is case rubberized to keep from slipping,"No, slippery shiny plastic... the worst thing about it, battery otherwise is ok"
The picture shows that this case is black but the description says that it is white. So which is it black or white?,I don't have the extended battery with a different back. I have the standard 2600 mAh Anker battery and it is white..
Is there anyway I can get a s-view to fit with this? And also How much longer does the charge last?,"S-view doesn't work so you can use the camera. The battery back, for me lasted 10-12 hours with heavy usage."
"So, will my Otter Box case still work with my S$ after adding this extended battery case??",Sorry no because it doubles as a carrying case
Does this work for a Verizon S4?,"I have ATT but I dont see why it wouldn't work, the case is for any S4"
"Can the internal battery be used without the battery back? Say, if I wanted to use a case and use the back if I run low on juice later in the day?",Not really enough info to answer the question. I use this battery with my S4. It could be used without the Phone back but I do not see why anyone would need to do that since it is very easy to remove the back.
"how battery work, 24 hours",This replaces both the battery in your phone and the battery cover on the back of your phone. It gives you a much larger battery which results in a longer lasting charge. In subsequent testing I have actually had my phone last for a little over three days on one full charge.
does this work with the sprint model?,I just got this for my Sprint phone and it works fine.
do you always need a tripod,"Dear theresa, Thanks for your contact. Actually, the tripod is just a auxiliary tools and it is not neccessary. And the product doesn't include the tripod. Is that ok for you? If you like it, just place the order, then we will ship it out ASAP. Any questions, please feel free to contact us. Waiting for your good news. Sincerely, Vivian"
Will this device work in video mode ?,It is using only camera360 APP. There is no video mode.
Does this product use BT HID? I'm wondering if it would work with an S2 - thanks!,"Dear Lexx, Thanks for your enquiry. This product use RF technology instead of Bluetooth. And it is compatible with Samsung galaxy S2. It is in stock now, if you like it, just place the order, then we will ship it out ASAP. Any questions, please feel free to contact us. Sincerely. Vivian"
is there plastic over the sparkles so they won`t come off easily,No theres nothing over them The whole thing its just a normal cover with glitters glue to the cover.
Is there a lip that covers the front of the phone a bit to protect the front of the screen if dropped?,"yes, and the cases are awesome! I'm still on my first one after like 4 months"
do u have to buy all of them or just one?????????,You get all of them for the price
Do you get all six cases or just ONE case for $10.00? Please reply with answer.,"you get all 6 for the current price. just to tell you also I realized when I ordered this that its coming from china and will take a while to ship. if you are looking for cases that will come in a few days, do not get these unless you don't care how long it takes them to ship. I ordered this a few days ago and the estimated delivery date is february 20th."
does it fit 7 generation,Well there's no such thing as the 7th generation of iPods. It fits the most recent version which is the 5th.
dose it go in oyur pocket easy,"Yes, it fits into a pocket very easily."
is the red one actually red? in the picture it looks pink,It's hot pink.
Does it fit Ipod 6 touch?,"Oh Yeahhh, But There Is No Protectio It Just Looks Pretty. After I Put It On My Ipod Cracked :/. I Dont Suggest Buying It"
"Why are there 5 colors in the description, but 6 actual cases? The light pink isn't mentioned.","Sorry for the mistake, we have fix that. Actually it have 6 colors case."
"Do you have this product for the Samsung Galaxy S 4, NOT the mini?","Hi Leslie! We sure do :) You can see them here: http://www.amazon.com/The-Friendly-Swede-Microfiber-Protector/dp/B00C5X4146 If there's anything else, just let me know. I can be contacted directly via this link:"
"are the included screen protectors anti-glare, or just clear ones? Thanks!!",Hi Cathy! I apologize for the delay in my response. Our screen protectors are clear. Hope that helps! Jessie / The Friendly Swede
So this case will not fit the S4? It will only fit the S4 mini like it advertises?,"Hi Maureen! YES! This case will ONLY fit the S4 Mini. We do our best to provide an accurate description so as not to mislead our customers. It's always important to read the title and description thoroughly. If you have any questions about any of our products, I would be happy to help you. Here is the link to contact me directly through our storefront:"
Are the screen protectors just a film or are they like that of an otterbox?,"Hi Lindsey! Yes, the protectors we include are a thin film that you peel off and place on your device. If there's anything else, just let me know. I can be contacted directly via this link:"
Do these phone covers fit the samsung galaxy s4 mini SCH-R890 from U.s Cellular?,"Hi Morgan! Maureen here from The Friendly Swede:-) The answer is YES! These cases are compatible with your device. Anything else, please let me know here at this link:"
buenos dias amigo soy irmo Petit...le escribo Por la siguiente razon...Pedido realizado: 28 de agosto 2014 Amazon.com n&uacute;mero de pedido: 109-0827865-88,"Hola Irmo, Usted tendr que ponerse en contacto con el servicio al cliente de Amazon con respecto a sus detalles de la orden y hacer un seguimiento del envo. Buena suerte ! Jessie / The Friendly Swede"
"Are the colors semi transparent? I have a black phone, will that show through the case much?","Hi L., Maureen here from The Friendly Swede:-) The answer is (as all of our kind customers have stated so far) no. They are not transparent. They will not show through. If I can help you further please reach me here at my direct link:"
will this case fit for the s4 mini from sprint model number sph-L520?,"Hi Johnathan! Maureen here from The Friendly Swede:-) Yes, it will fit perfectly! Hope this helps! If you have any other questions, please contact me here for a faster reply:"
is this case for the samsung s 4 mini,"Hi Margie! Jo Tan here from The Friendly Swede! YES, if your phone model is Samsung Galaxy SIV Mini S4 Mini i9190 / i9192 / i9195 / i9198 then these will definitely fit :) If I can be of further assistance to you, please email me at our storefront customer service link here:"
is unlocked internationally?,The phone works perfectly well as expected. It is unlocked for international use. Great Phone.
