description,merchantLink,merchantName,price,productDetails,productLink,productName,reviewsCount,reviewsScore,searchKeyword,withoutDiscountPrice
Eau de Parfum · Spray · Unisex,http://www.google.com/url?url=https://justperfume.co/womens-fragrance/maison-francis-kurkdjian/baccarat-rouge-540-by-maison-francis-kurkdjian-eau-de-parfum-spray-70ml-2/%3Fsrsltid%3DAfmBOoqTPgpsLM5Vl4fR3jbF4qD6Or4a7SfkVf8qgS2MPWhur7meec9Ahak&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECPMT&usg=AOvVaw016ZJsj0LtqOHF_qYgaGWh,Just Perfume,$386.07,"Baccarat Rouge 540 eau de parfum by Francis Kurkdjian is radiant, seductive and with its extreme longevity, you should prepare ...","http://www.google.com/shopping/product/14393167519443654608?q=perfume&gl=us&hl=en&prds=eto:14292477721006462287_0,pid:17299483571193491733,rsk:PC_7933684189426240627&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII6xM",Maison Francis Kurkdjian Baccarat Rouge 540 Eau De Parfum Spray 70ml,"10,820",4.5,perfume,
Eau de Parfum · Set · Gifts for Mothers · Women's · Travel Size,http://www.google.com/url?url=https://www.macys.com/shop/product/26-pc.-fragrance-sampler-set-for-her-created-for-macys%3FID%3D17775005%26pla_country%3DUS%26CAGPSPN%3Dpla&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQgOUECIgU&usg=AOvVaw1TLJNdkWnG8yBZlJZUR1tR,Macy's,$40.00,"Try before you buy! This curated set features samples of the most popular scents, presented together in a pouch with a bonus ...",,"26-Pc. Fragrance Sampler Set For Her, Created for Macy's",81,3,perfume,
Eau de Parfum · Oil · Women's · Vegan · Paraben-free · Travel Size · Cruelty-free,http://www.google.com/url?url=https://www.ulta.com/p/creme-vanille-eau-de-parfum-pimprod2044080%3Fsku%3D2622664%26cmpid%3DPS_Non!google!Product_Listing_Ads%26utm_source%3Dgoogle%26utm_medium%3Dpaidsearch%26CAWELAID%3D330000200003186384%26srsltid%3DAfmBOooIq1tIspDN-gZ4uLb5il6EF4noj_cw0J3kVf7ICH7XMjlEjpQiS38&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECKEU&usg=AOvVaw12kHBsAOFeLtqLo0j2CAA7,Ulta Beauty,$25.00,"Born in 2014, Le Monde Gourmand has become a singular icon of fun, fine fragrance. With a cache of cult classics, our ...","http://www.google.com/shopping/product/992006985391197775?q=perfume&gl=us&hl=en&prds=eto:15675027563499492044_0,pid:17774221093441333927,rsk:PC_11691460549043579615&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIlRQ",Le Monde Gourmand Crème Vanille Eau de Parfum - 1 fl oz | 30 ml,56,4.4,perfume,
Eau de Parfum · Spray · Women's · Travel Size · Cruelty-free,http://www.google.com/url?url=https://www.target.com/p/ariana-grande-cloud-eau-de-parfum-1-fl-oz-ulta-beauty/-/A-82677987%3Fref%3Dtgt_adv_xsf%26AFID%3Dgoogle%26CPNG%3DBeauty%26adgroup%3D342-4%26lnm%3D81c269aab9bc5fc4177fabac3c77acd26f491510dd5f94a06570d6c819846581&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECL4U&usg=AOvVaw3nz_3cbh_-UHUhrjl_J_Qt,Target,$45.00,"One of the hottest perfumes out there since its launch in 2018, Cloud by Ariana Grande is a vibrant, floral fragrance that you ...","http://www.google.com/shopping/product/12012455752130706887?q=perfume&gl=us&hl=en&prds=eto:17891332948962919591_0,pid:9400086169505410983,rsk:PC_14102669421000935602&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIItBQ","Ariana Grande Eau de Parfum Spray, Cloud - 1.0 fl oz","15,258",4.5,perfume,
Eau de Parfum · Spray · Men's · Travel Size,http://www.google.com/url?url=https://www.franciskurkdjian.com/us-en/p/baccarat-rouge-540-eau-de-parfum-RA12232.html&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECNcU&usg=AOvVaw3d_qACg9N4iNNWXGxcYyxz,Maison Francis Kurkdjian Paris,$325.00,"Citrus top notes are dominated by the sweetly juicy blood orange, the juice of which is evoked in the name of the fragrance ...","http://www.google.com/shopping/product/14393167519443654608?q=perfume&gl=us&hl=en&prds=eto:17529163039106003357_0,pid:10391872392816684304,rsk:PC_7933684189426240627&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIzhQ",Maison Francis Kurkdjian Baccarat Rouge 540 Eau De Parfum - 2.4 oz bottle,"10,820",4.5,perfume,
Eau de Parfum · Spray · Unisex · Travel Size,http://www.google.com/url?url=https://www.amazon.com/Mayar-EDP-flowers-Vanilla-Perfumes/dp/B0B2MSX869%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DAYILXLZQVLNEZ&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECO4U&usg=AOvVaw1vqz80HdeAjnIZi0HpIDzF,Amazon.com - Seller,$26.75,"The moonlight transforms our familiar world into a fairy-tale realm, filled with mysteries and astonishing sensations. It's no ...","http://www.google.com/shopping/product/6910224302069681320?q=perfume&gl=us&hl=en&prds=eto:2923224956988673622_0,pid:4148962115235712597,rsk:PC_8698199941030674224&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII5RQ",Lattafa Mayar Eau de Parfum 3.4 oz,601,4.7,perfume,
Spray · Women's · Vegan · Gluten-free · Paraben-free · Travel Size · Cruelty-free · Phthalate-free,http://www.google.com/url?url=https://www.sephora.com/product/brazilian-crush-body-fragrance-mist-mini-P421481%3Fcountry_switch%3Dus%26lang%3Den%26skuId%3D1985118%26srsltid%3DAfmBOortzSCnOEJ2gGkHkj5wZf1Bj56Qh-GT1S23OvGxeT_N07DIRcuP6w8&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECIQV&usg=AOvVaw0ZF6z6R5-iopb9oqi2c4Cn,Sephora,$24.00,"This is a Beyond Beauty product which means it has been sourced, tried and tested and finally declared one of the most new and ...","http://www.google.com/shopping/product/16919120170962801973?q=perfume&gl=us&hl=en&prds=eto:16307378840911175263_0,pid:10006840196491341701,rsk:PC_12499896762034186777&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gII9xQ",Sol de Janeiro Brazilian Crush Cheirosa 62 Perfume Mist 3 oz,"26,125",4.6,perfume,
Eau de Parfum · Spray · Women's · Travel Size,http://www.google.com/url?url=https://www.walmart.com/ip/Yara-by-Lattafa-3-4-oz-100-ml-Eau-De-Perfume-Spray-for-Women/5489337727%3Fwmlspartner%3Dwlpa%26selectedSellerId%3D101668626&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECJsV&usg=AOvVaw070oW9CqmrHLV8LT3f3QKS,Walmart - mYEDS,$18.20,"Introducing Lattafa Yara, a captivating blend of florals and spices, an exotic and luxurious Eau de Parfum. This fragrance is ...","http://www.google.com/shopping/product/13800229246025418198?q=perfume&gl=us&hl=en&prds=eto:1976568218414828930_0,pid:6969134393870664111,rsk:PC_3363703673016090898&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIkhU",Lattafa Yara 3.4 oz Eau de Parfum Spray for Women,"4,719",4.8,perfume,
Eau de Parfum · Spray · Men's · Travel Size,http://www.google.com/url?url=https://www.fragrancenet.com/versace-eros-cologne/gianni-versace/mens-fragrances/mf/en_US/23846/372595%3Fmv_pc%3Dgawus_surf_372595%26utm_source%3Dgoogle_us%26utm_medium%3Dorganic%26utm_campaign%3Dsurf%26srsltid%3DAfmBOor_mFbD-_YbFDPD8fO5T70L2DxEyhxqJaQlQbf3NaUdNNc4CqezKf8&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECLAV&usg=AOvVaw31zGFjNfgNqY3iODOAYSJM,FragranceNet.com,$70.55,"Unleash your inner passion with Versace Eros Eau de Parfum Natural Spray, an intoxicating fragrance that captures the essence ...","http://www.google.com/shopping/product/16767875361639666904?q=perfume&gl=us&hl=en&prds=eto:12852188104848510387_0,pid:5265139622066019592,rsk:PC_10892033779020882837&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIpxU",Versace Eros Eau de Parfum Spray 3.4oz Men,"8,746",4.7,perfume,$111.99
Eau de Parfum · Spray · Unisex · Vegan · Travel Size · Cruelty-free,http://www.google.com/url?url=https://hudabeauty.com/us/en_US/vanilla-franchise/vanilla-28-100ml-KY00082.html&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQguUECJsW&usg=AOvVaw06Ox99UF17cnasVJgYj_LY,Huda Beauty,$138.00,"When it comes to Huda’s Kayali Vanilla 28, the art is in the balance. A distinguished woody base melds with a blend of jasmine ...","http://www.google.com/shopping/product/4626063187522358637?q=perfume&gl=us&hl=en&prds=eto:4913240100440757503_0,pid:996728761792375163,rsk:PC_14512088955450315631&sa=X&ved=0ahUKEwiCnIOCl6SGAxWjFjQIHSvUDiEQ8gIIkBY",Kayali Vanilla | 28 Eau de Parfum 100ml,"4,964",4.4,perfume,
